Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.07,.687,162,1458,1090,12969.0,6035,4323,1604,108,140,.982,-3,0,21,2,3
Atlanta Braves,48,5.07,.683,162,1458,1146,12972.0,5999,4324,1578,97,137,.984,-27,-2,-4,1,-4
Baltimore Orioles,50,5.19,.683,162,1458,1083,12969.0,6026,4323,1609,94,175,.984,-6,-1,-9,1,3
Boston Red Sox,49,4.12,.680,162,1458,1162,13341.0,5944,4447,1390,107,126,.982,11,1,85,0,1
Chicago Cubs,47,4.29,.699,162,1458,921,13026.0,6093,4342,1656,95,139,.984,34,3,40,0,-4
Chicago White Sox,51,5.06,.700,162,1458,1184,12795.0,5920,4265,1541,114,157,.981,15,1,-12,-1,-10
Cincinnati Reds,47,5.36,.691,162,1458,1154,12870.0,5994,4290,1623,81,132,.986,-16,-2,56,1,3
Cleveland Indians,41,3.48,.683,162,1458,1072,12966.0,5845,4322,1447,76,167,.987,42,4,55,0,10
Colorado Rockies,41,4.67,.683,162,1458,1142,12939.0,6120,4313,1730,77,168,.987,20,2,6,3,14
Detroit Tigers,48,5.52,.668,162,1458,1119,12783.0,5734,4261,1389,84,146,.985,-50,-5,-115,-1,-5
Houston Astros,46,4.32,.682,162,1458,1044,13014.0,5963,4338,1526,99,153,.983,-15,-1,21,-1,-5
Kansas City Royals,49,4.88,.685,162,1458,1126,12939.0,5916,4313,1524,79,145,.987,-23,-2,-55,-1,4
Los Angeles Angels,55,4.38,.700,162,1458,1125,12966.0,5864,4322,1462,80,135,.986,43,4,52,1,5
Los Angeles Dodgers,52,3.58,.703,162,1458,1026,13002.0,5789,4334,1367,88,131,.985,25,2,67,1,0
Miami Marlins,43,5.07,.691,162,1458,1165,12984.0,5955,4328,1554,73,156,.988,-1,0,24,1,8
Milwaukee Brewers,50,4.30,.684,162,1458,1035,13011.0,6076,4337,1624,115,164,.981,6,1,25,1,-2
Minnesota Twins,52,4.86,.692,162,1458,1130,12924.0,5863,4308,1477,78,143,.987,37,3,26,0,-4
New York Mets,51,5.33,.667,162,1458,1125,12912.0,5852,4304,1456,92,125,.984,-65,-6,-68,-1,-4
New York Yankees,51,4.07,.703,162,1458,1131,13038.0,5909,4346,1468,95,102,.984,29,3,28,-2,-11
Oakland Athletics,54,5.10,.686,162,1458,1111,12879.0,6011,4293,1597,121,162,.980,-35,-3,-41,0,0
Philadelphia Phillies,51,4.83,.683,162,1458,1132,12969.0,5902,4323,1497,82,145,.986,-34,-3,-31,-2,-1
Pittsburgh Pirates,46,4.51,.679,162,1458,1074,12966.0,6083,4322,1662,99,156,.984,-29,-3,24,0,0
San Diego Padres,52,5.04,.683,162,1458,1080,12876.0,6028,4292,1623,113,177,.981,-4,0,17,0,-1
Seattle Mariners,61,4.77,.700,162,1458,1154,12963.0,5846,4321,1422,103,147,.982,16,1,7,0,-5
San Francisco Giants,49,4.79,.679,162,1458,1081,13068.0,5965,4356,1522,87,127,.985,-22,-2,-29,1,5
St. Louis Cardinals,47,4.35,.687,162,1458,1100,13053.0,6039,4351,1594,94,164,.984,16,1,31,1,1
Tampa Bay Rays,53,4.35,.701,162,1458,1129,13005.0,5868,4335,1433,100,129,.983,17,2,44,0,-7
Texas Rangers,51,5.04,.695,162,1458,1131,12909.0,6027,4303,1616,108,173,.982,49,5,4,0,1
Toronto Blue Jays,60,4.84,.682,162,1458,1073,13185.0,6057,4395,1570,92,145,.985,-35,-3,6,0,6
Washington Nationals,49,4.15,.698,162,1458,1118,13020.0,5860,4340,1434,86,139,.985,7,1,-31,0,-8
League Average,45,4.65,.688,162,1458,1105,12977,5953,4326,1533,94,147,.984,0,0,8,0,0
,1354,4.65,.688,4860,43740,33163,389313.0,178583,129771,45995,2817,4405,.984,1,0,244,0,0
